group_target,group_comp,tile_same,T1_same,T2_same,D1_same,D2_same,same2fold,same3fold,same4fold,same6fold,distance,user_id,task_id,correct
PMG,P31M,False,False,True,True,True,False,False,True,True,2,A2602OOFDKNFS8,33393,1
PM,CM,False,False,True,False,True,True,True,True,True,1,A2602OOFDKNFS8,47212,1
PG,P6M,False,False,False,False,False,False,False,True,False,4,A2602OOFDKNFS8,42893,1
PG,P4,False,False,True,True,True,False,True,False,True,3,A2602OOFDKNFS8,43840,1
CM,PMG,False,False,False,False,True,False,True,True,True,1,A2602OOFDKNFS8,38824,1
PG,P2,False,False,True,True,True,False,True,True,True,2,A2602OOFDKNFS8,42174,1
P4,PMM,False,False,False,True,True,True,True,False,True,3,A2602OOFDKNFS8,22832,1
P6M,P4M,False,True,True,True,True,True,False,False,False,3,A2602OOFDKNFS8,849,1
P2,CM,False,True,True,False,True,False,True,True,True,4,A2602OOFDKNFS8,48502,0
P1,PG,False,False,True,True,True,True,True,True,True,1,A2602OOFDKNFS8,53674,1
P6M,PMG,False,False,True,False,False,True,False,True,False,3,A2602OOFDKNFS8,1008,1
PMM,P3,False,False,False,True,True,False,False,True,True,4,A2602OOFDKNFS8,35382,1
PGG,P6M,False,False,False,False,False,True,False,True,False,4,A2602OOFDKNFS8,31369,1
PMG,P4,False,False,False,True,True,True,True,False,True,4,A2602OOFDKNFS8,34861,1
PMM,P4,False,False,False,True,True,True,True,False,True,3,A2602OOFDKNFS8,37412,1
PGG,PMG,True,True,False,True,True,True,True,True,True,1,A1TH0PTGDSBWMO,29818,1
P3M1,P4M,False,False,False,True,False,False,False,False,True,4,A2602OOFDKNFS8,11721,1
P3M1,P3,True,True,True,False,True,True,True,True,True,1,A2602OOFDKNFS8,11017,0
CMM,P3M1,False,True,True,True,False,False,False,True,True,2,A1TH0PTGDSBWMO,26389,1
CM,P1,False,True,True,False,True,True,True,True,True,3,A2602OOFDKNFS8,39006,1
P6,PMG,False,False,False,True,True,True,False,True,False,4,A1TH0PTGDSBWMO,4848,1
P4,PM,False,False,True,True,True,False,True,False,True,4,A2602OOFDKNFS8,23597,1
PGG,P2,False,False,False,True,True,True,True,True,True,3,A2602OOFDKNFS8,30035,1
P3,P1,False,True,True,True,True,True,False,True,True,1,A1TH0PTGDSBWMO,14059,1
PM,CMM,False,False,True,False,False,False,True,True,True,4,A2602OOFDKNFS8,47049,1
P3M1,P2,False,True,True,False,True,False,False,True,True,3,A1TH0PTGDSBWMO,11477,1
P2,P31M,False,False,False,True,True,False,False,True,True,3,A1TH0PTGDSBWMO,48722,1
P4M,P6M,False,True,True,True,True,True,False,False,False,3,A2602OOFDKNFS8,21792,1
P6,PM,False,False,True,True,True,False,False,True,False,4,A2602OOFDKNFS8,6289,1
P6,CM,False,True,True,False,True,False,False,True,False,3,A1TH0PTGDSBWMO,4302,1
P3,P6,True,True,True,True,True,False,True,True,False,1,A2602OOFDKNFS8,13481,0
P6,P4G,False,False,False,False,False,True,False,False,False,3,A1TH0PTGDSBWMO,5294,1
P6,P31M,True,False,False,True,True,False,True,True,False,2,A2602OOFDKNFS8,3280,1
PMG,PGG,True,True,False,True,True,True,True,True,True,1,A1TH0PTGDSBWMO,32379,1
P3M1,P4,False,True,True,False,True,False,False,False,True,4,A2602OOFDKNFS8,12422,1
CM,PG,False,False,True,False,True,True,True,True,True,2,A1TH0PTGDSBWMO,40819,0
P1,P4G,False,False,False,False,False,False,True,False,True,3,A2602OOFDKNFS8,52708,1
P3M1,PM,False,False,True,False,True,True,False,True,True,2,A1TH0PTGDSBWMO,12072,1
PMM,PMG,True,False,True,True,True,True,True,True,True,1,A1TH0PTGDSBWMO,36895,1
P4G,P6M,False,False,False,True,True,True,False,False,False,2,A2602OOFDKNFS8,17949,1
PMM,P31M,False,True,True,True,True,False,False,True,True,3,A1TH0PTGDSBWMO,37209,0
CMM,PM,False,False,True,False,False,False,True,True,True,4,A2602OOFDKNFS8,26158,1
P4,P1,False,True,True,True,True,False,True,False,True,2,A1TH0PTGDSBWMO,24959,0
P6M,P3,True,False,False,False,False,False,True,True,False,2,A1TH0PTGDSBWMO,160,1
P4,P3,False,True,True,True,True,False,False,False,True,3,A2602OOFDKNFS8,24504,1
P3,P6M,True,False,False,False,False,False,True,True,False,2,A1TH0PTGDSBWMO,14723,1
P3M1,P2,False,True,True,False,True,False,False,True,True,3,A2602OOFDKNFS8,11457,1
P4M,PM,False,True,False,False,False,False,True,False,True,6,A1TH0PTGDSBWMO,20364,1
P2,P4M,False,False,False,False,False,True,True,False,True,3,A1TH0PTGDSBWMO,48263,0
PM,PMG,True,False,False,True,True,False,True,True,True,2,A2602OOFDKNFS8,46481,1
PMM,PG,True,False,False,True,True,False,True,True,True,3,A1TH0PTGDSBWMO,37623,1
PG,CM,False,False,True,False,True,True,True,True,True,2,A2602OOFDKNFS8,44005,1
PMG,P2,False,False,False,True,True,True,True,True,True,4,A1TH0PTGDSBWMO,33225,1
PMM,CM,False,False,False,False,True,False,True,True,True,2,A1TH0PTGDSBWMO,38216,0
CMM,P2,False,True,True,False,False,True,True,True,True,3,A2602OOFDKNFS8,27445,1
P6M,CM,False,False,False,True,False,False,False,True,False,2,A1TH0PTGDSBWMO,1088,0
PMM,P1,False,False,False,True,True,False,True,True,True,4,A2602OOFDKNFS8,35829,1
PGG,CMM,False,False,False,False,False,True,True,True,True,3,A2602OOFDKNFS8,30407,1
P1,CMM,False,True,True,False,False,False,True,True,True,4,A1TH0PTGDSBWMO,53462,1
P3M1,P4G,False,False,False,True,False,False,False,False,True,3,A2602OOFDKNFS8,10402,0
PM,P2,False,False,True,True,True,False,True,True,True,3,A1TH0PTGDSBWMO,47287,0
P3,PMG,False,False,False,True,True,False,False,True,True,3,A2602OOFDKNFS8,13805,0
PMM,P4M,False,True,True,False,False,True,True,False,True,3,A1TH0PTGDSBWMO,35460,1
P4,PG,False,False,True,True,True,False,True,False,True,3,A2602OOFDKNFS8,24186,1
P3M1,P4,False,True,True,False,True,False,False,False,True,4,A1TH0PTGDSBWMO,11790,1
P31M,PGG,False,False,False,True,True,False,False,True,True,3,A2602OOFDKNFS8,8668,1
CMM,P1,False,True,True,False,False,False,True,True,True,4,A1TH0PTGDSBWMO,26877,1
P31M,CMM,False,False,False,False,False,False,False,True,True,2,A2602OOFDKNFS8,9263,1
P31M,P3,True,False,False,True,True,True,True,True,True,1,A1TH0PTGDSBWMO,9092,1
PMG,P4M,False,False,True,False,False,True,True,False,True,4,A2602OOFDKNFS8,32266,1
P4M,P3,False,False,False,False,False,False,False,False,True,5,A1TH0PTGDSBWMO,21296,0
CMM,P4,False,True,True,False,False,True,True,False,True,2,A2602OOFDKNFS8,28451,1
PMM,P6,False,False,False,True,True,True,False,True,False,3,A1TH0PTGDSBWMO,37835,1
P1,PGG,False,False,False,True,True,False,True,True,True,2,A2602OOFDKNFS8,52873,1
P1,P4,False,True,True,True,True,False,True,False,True,2,A1TH0PTGDSBWMO,52776,1
P4,P3,False,True,True,True,True,False,False,False,True,3,A1TH0PTGDSBWMO,24517,1
P4G,P4,True,False,False,False,False,True,True,True,True,1,A2602OOFDKNFS8,17543,0
P4G,PMG,False,True,False,False,False,True,True,False,True,3,A1TH0PTGDSBWMO,18297,0
P3,PM,False,False,True,True,True,True,False,True,True,3,A2602OOFDKNFS8,13327,0
P4,PM,False,False,True,True,True,False,True,False,True,4,A1TH0PTGDSBWMO,24221,1
PM,P3,False,False,True,True,True,True,False,True,True,3,A2602OOFDKNFS8,45620,1
PM,PMM,True,True,False,True,True,False,True,True,True,3,A2602OOFDKNFS8,45249,0
P3,P4G,False,False,False,False,False,False,False,False,True,4,A1TH0PTGDSBWMO,15524,1
CM,PMG,False,False,False,False,True,False,True,True,True,1,A1TH0PTGDSBWMO,40731,1
P31M,P4M,False,True,True,False,False,False,False,False,True,4,A2602OOFDKNFS8,8532,1
P3M1,P31M,True,False,False,False,True,True,True,True,True,1,A1TH0PTGDSBWMO,10326,1
PG,P4M,False,False,False,False,False,False,True,False,True,5,A2602OOFDKNFS8,42505,1
P3M1,P3,True,True,True,False,True,True,True,True,True,1,A1TH0PTGDSBWMO,11007,0
P4G,CM,False,False,False,True,False,False,True,False,True,4,A2602OOFDKNFS8,19031,1
P3,P6,True,True,True,True,True,False,True,True,False,1,A1TH0PTGDSBWMO,14135,1
PG,P3M1,False,False,True,False,True,True,False,True,True,3,A2602OOFDKNFS8,43035,1
P31M,CM,False,False,False,False,True,True,False,True,True,1,A1TH0PTGDSBWMO,7490,1
P2,P4G,False,False,False,False,False,True,True,False,True,2,A1TH0PTGDSBWMO,50155,1
